"","Made Donation in March 2007"
"659","0.438307919061952"
"276","0.0972041981609454"
"263","0.286665124751192"
"303","0.291074904714437"
"83","0.474588236581411"
"500","0.718540675211094"
"530","0.312163814516607"
"244","0.12568692237568"
"249","0.0204458987656906"
"728","0.0791063690328107"
"129","0.161595931880387"
"534","0.141984691555503"
"317","0.263094323502056"
"401","0.286665124751192"
"696","0.282137344210306"
"192","0.163660291499582"
"176","0.216344402115333"
"571","0.410849585009162"
"139","0.0747772316522257"
"423","0.288749888427933"
"563","0.389024044096864"
"56","0.29964024793946"
"528","0.342032630638257"
"101","0.286665124751192"
"467","0.250447766552318"
"382","0.297621304315693"
"466","0.322397506427784"
"294","0.12568692237568"
"512","0.293271371183324"
"659","0.438307919061952"
"389","0.315734364432934"
"487","0.0363042133412679"
"701","0.330475635406"
"419","0.243777113272157"
"536","0.191384990320373"
"240","0.228241173286721"
"508","0.219150429852298"
"515","0.12568692237568"
"283","0.326106761080129"
"650","0.286665124751192"
"65","0.349869956426164"
"228","0.13337034156282"
"741","0.0641128686822624"
"297","0.344826454969024"
"464","0.119672900297887"
"63","0.330475635406"
"231","0.326788836759304"
"28","0.112454492866448"
"248","0.12568692237568"
"357","0.154528071155928"
"300","0.476821726026645"
"726","0.617901429380733"
"680","0.150184072096508"
"520","0.285081924267578"
"254","0.0471033436184164"
"582","0.18222582429329"
"143","0.214843333990263"
"98","0.366248157082622"
"1","0.284585752902617"
"221","0.476434818018133"
"352","0.286665124751192"
"64","0.120819548444434"
"138","0.255487920079125"
"745","0.36616668774406"
"64","0.120819548444434"
"688","0.0982185655156903"
"623","0.114445348859442"
"289","0.169154911738542"
"174","0.303790142544509"
"690","0.286665124751192"
"105","0.172635020823559"
"427","0.129704975054133"
"48","0.0120464685246562"
"14","0.286665124751192"
"657","0.0469643050921011"
"301","0.137751449380006"
"455","0.125346435469749"
"579","0.269428062049661"
"722","0.111103427308045"
"98","0.366248157082622"
"491","0.0120464685246562"
"303","0.291074904714437"
"466","0.322397506427784"
"65","0.349869956426164"
"300","0.476821726026645"
"9","0.0654211629714108"
"622","0.163660291499582"
"323","0.0997880346233776"
"289","0.169154911738542"
"568","0.31789281501398"
"290","0.286665124751192"
"156","0.163203865648749"
"464","0.119672900297887"
"426","0.116743910685699"
"306","0.205643466311535"
"4","0.276768280350147"
"12","0.318757921956414"
"187","0.245926961978525"
"406","0.0609423034504775"
"96","0.312163814516607"
"509","0.330475635406"
"733","0.135856867282459"
"548","0.0652317557806001"
"478","0.226839699868818"
"501","0.168316880002024"
"127","0.377646837601484"
"199","0.198276322578629"
"299","0.392104509872018"
"162","0.286665124751192"
"235","0.120257544051958"
"23","0.193536677535185"
"473","0.286665124751192"
"487","0.0363042133412679"
"683","0.381633739180259"
"303","0.291074904714437"
"309","0.0447236447566301"
"569","0.0539186655096835"
"34","0.353375794609125"
"686","0.577944269021454"
"84","0.278098169705565"
"733","0.135856867282459"
"537","0.419258993884445"
"181","0.158279578735739"
"453","0.769003297110129"
"67","0.379596924627846"
"161","0.432457602540806"
"307","0.260657106650353"
"703","0.180993878842602"
"181","0.158279578735739"
"246","0.139670328733685"
"316","0.325839175856433"
"278","0.163660291499582"
"346","0.188713003819027"
"545","0.286665124751192"
"419","0.243777113272157"
"694","0.312163814516607"
"622","0.163660291499582"
"663","0.0736664687176528"
"262","0.556132524119946"
"461","0.257806640141585"
"373","0.879488395944326"
"233","0.286665124751192"
"466","0.322397506427784"
"207","0.214843333990263"
"263","0.286665124751192"
"16","0.0539186655096835"
"513","0.0555791389427734"
"449","0.28182331300696"
"429","0.0353036276172391"
"701","0.330475635406"
"632","0.0526732869001879"
"529","0.478756674112976"
"245","0.260105215822321"
"344","0.12352585549402"
"353","0.12403051281493"
"241","0.30273658412926"
"633","0.104776294298542"
"624","0.330475635406"
"726","0.617901429380733"
"189","0.163660291499582"
"138","0.255487920079125"
"402","0.12568692237568"
"511","0.345727707974535"
"590","0.359877507362768"
"334","0.207090209754909"
"447","0.0758408529905642"
"119","0.322397506427784"
"389","0.315734364432934"
"644","0.286665124751192"
"423","0.288749888427933"
"131","0.0539186655096835"
"405","0.00982972705640388"
"82","0.286665124751192"
"643","0.921968312023325"
"156","0.163203865648749"
"617","0.0620860379710121"
"574","0.357559598928259"
"272","0.26803500649655"
"613","0.0969991385031956"
"545","0.286665124751192"
"685","0.12568692237568"
"570","0.177719317565249"
"537","0.419258993884445"
"691","0.104776294298542"
"85","0.438143889381861"
"483","0.139670328733685"
"455","0.125346435469749"
"93","0.163660291499582"
"744","0.330475635406"
"33","0.139670328733685"
"321","0.692905170184623"
"523","0.226898133223575"
"426","0.116743910685699"
"196","0.110863101439685"
"301","0.137751449380006"
"103","0.104776294298542"
"224","0.0709078721124964"
"454","0.0817923233196828"
"585","0.055660608329343"
"154","0.320560549263419"
